Ángulo (°),Iluminancia (lux)
0.0,54612.5
1.0,54612.5
3.0,53556.66
5.0,53508.33
7.0,54295.0
9.0,51681.66
11.0,47841.66
13.0,48710.83
15.0,40237.5
18.0,43947.5
19.0,40659.16
21.0,34561.66
23.0,36498.33
25.0,33316.66
27.0,31482.5
29.0,25248.33
31.0,23258.33
33.0,22455.0
36.0,18795.83
37.0,15207.5
39.0,12825.0
41.0,12610.83
43.0,10931.67
45.0,9933.33
47.0,7774.17
49.0,5541.67
51.0,4413.33
54.0,3480.0
55.0,2775.83
57.0,2110.83
59.0,1543.33
61.0,1000.83
63.0,504.17
65.0,486.67
67.0,211.67
69.0,50.0
72.0,17.5
73.0,0.83
75.0,0.83
77.0,11.67
79.0,33.33
81.0,50.83
83.0,75.0
85.0,78.33
87.0,62.5
90.0,58.33
91.0,47.5
93.0,27.5
95.0,19.17
97.0,21.67
99.0,37.5
101.0,79.17
103.0,148.33
105.0,264.17
108.0,445.83
109.0,882.5
111.0,1144.17
113.0,1211.67
115.0,1825.0
117.0,2573.33
119.0,3230.0
121.0,3104.17
123.0,4898.33
126.0,6450.83
127.0,8826.67
129.0,10805.0
131.0,11044.17
133.0,13280.0
135.0,14704.17
137.0,18187.5
139.0,20010.0
141.0,21437.5
144.0,25019.17
145.0,31020.0
147.0,33226.66
149.0,42451.66
151.0,38568.33
153.0,42287.5
155.0,43552.5
157.0,36650.0
159.0,54612.5
162.0,54612.5
163.0,54612.5
165.0,54612.5
167.0,54612.5
169.0,52095.83
171.0,49572.5
173.0,51173.33
175.0,52667.5
177.0,54612.5
180.0,54612.5
181.0,54612.5
183.0,54612.5
185.0,54612.5
187.0,54612.5
189.0,54612.5
191.0,52098.33
193.0,49949.16
195.0,51222.5
198.0,45722.5
199.0,42543.33
201.0,43117.5
203.0,35250.0
205.0,41943.33
207.0,41237.5
209.0,38011.66
211.0,33512.5
213.0,31810.0
216.0,27040.0
217.0,22535.0
219.0,19020.83
221.0,16556.67
223.0,15025.83
225.0,12515.0
227.0,8636.67
229.0,8340.83
231.0,5135.83
234.0,4165.0
235.0,3497.5
237.0,2583.33
239.0,1944.17
241.0,1184.17
243.0,654.17
245.0,451.67
247.0,244.17
249.0,105.0
252.0,28.33
253.0,2.5
255.0,2.5
257.0,15.83
259.0,38.33
261.0,47.5
263.0,95.0
265.0,79.17
267.0,65.83
270.0,45.83
271.0,32.5
273.0,18.33
275.0,22.5
277.0,50.83
279.0,126.67
281.0,222.5
283.0,320.83
285.0,455.83
288.0,712.5
289.0,1255.0
291.0,2320.83
293.0,3374.17
295.0,4489.17
297.0,4754.17
299.0,5368.33
301.0,6264.17
303.0,8014.17
306.0,9981.67
307.0,12329.17
309.0,12160.0
311.0,13869.17
313.0,15860.83
315.0,19945.83
317.0,21165.0
319.0,26642.5
321.0,27604.17
324.0,31858.33
325.0,36244.16
327.0,40774.16
329.0,41655.0
331.0,47627.5
333.0,46156.66
335.0,49260.83
337.0,53156.66
339.0,50654.16
342.0,49269.16
343.0,51885.83
345.0,54612.5
347.0,54612.5
349.0,54612.5
351.0,54612.5
353.0,54612.5
355.0,54612.5
357.0,54612.5
360.0,54612.5
